STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
Andhra Pradesh,2014,Road Accident_Cases,23154,2021,1991,1973,2075,2048,1924,1694,2077,1770,1875,1719,1987
Andhra Pradesh,2014,Railway Accident_Cases,1466,110,89,126,123,154,138,121,152,125,103,114,111
Andhra Pradesh,2014,Railway Crossing_Cases,3,1,0,1,0,0,0,0,1,0,0,0,0
Andhra Pradesh,2014,Total Traffic_Cases,24623,2132,2080,2100,2198,2202,2062,1815,2230,1895,1978,1833,2098
Arunachal Pradesh,2014,Road Accident_Cases,185,28,10,10,21,9,12,13,14,14,15,22,17
Arunachal Pradesh,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Total Traffic_Cases,185,28,10,10,21,9,12,13,14,14,15,22,17
Assam,2014,Road Accident_Cases,7144,658,615,689,612,566,531,573,528,460,670,638,604
Assam,2014,Railway Accident_Cases,670,61,50,63,39,55,57,43,65,59,56,62,60
Assam,2014,Railway Crossing_Cases,11,0,0,1,0,0,0,0,4,0,0,4,2
Assam,2014,Total Traffic_Cases,7825,719,665,753,651,621,588,616,597,519,726,704,666
Bihar,2014,Road Accident_Cases,9531,777,742,852,714,985,1002,757,662,685,720,829,806
Bihar,2014,Railway Accident_Cases,601,32,32,55,52,54,81,53,53,49,48,53,39
Bihar,2014,Railway Crossing_Cases,481,36,29,44,39,51,60,39,40,39,32,31,41
Bihar,2014,Total Traffic_Cases,10613,845,803,951,805,1090,1143,849,755,773,800,913,886
Chhattisgarh,2014,Road Accident_Cases,12140,1167,1110,1000,1020,1149,1051,934,877,910,1005,973,944
Chhattisgarh,2014,Railway Accident_Cases,637,66,39,54,52,52,51,59,59,42,65,42,56
Chhattisgarh,2014,Railway Crossing_Cases,27,2,4,3,4,3,2,2,1,1,4,1,0
Chhattisgarh,2014,Total Traffic_Cases,12804,1235,1153,1057,1076,1204,1104,995,937,953,1074,1016,1000
Goa,2014,Road Accident_Cases,4230,433,359,349,349,367,354,322,324,285,312,354,422
Goa,2014,Railway Accident_Cases,27,3,1,2,1,3,2,1,5,1,4,3,1
Goa,2014,Railway Crossing_Cases,7,2,1,0,1,1,0,0,0,1,0,1,0
Goa,2014,Total Traffic_Cases,4264,438,361,351,351,371,356,323,329,287,316,358,423
Gujarat,2014,Road Accident_Cases,22152,2023,1978,2039,1846,2127,1988,1673,1633,1506,1817,1678,1844
Gujarat,2014,Railway Accident_Cases,1153,102,105,95,88,100,114,82,101,97,91,86,92
Gujarat,2014,Railway Crossing_Cases,27,2,2,0,3,2,2,4,2,2,2,2,4
Gujarat,2014,Total Traffic_Cases,23332,2127,2085,2134,1937,2229,2104,1759,1736,1605,1910,1766,1940
Haryana,2014,Road Accident_Cases,11043,892,881,963,911,939,906,955,916,871,891,962,956
Haryana,2014,Railway Accident_Cases,1361,128,45,53,62,75,46,38,93,136,253,193,239
Haryana,2014,Railway Crossing_Cases,13,0,2,1,0,2,2,2,2,1,0,1,0
Haryana,2014,Total Traffic_Cases,12417,1020,928,1017,973,1016,954,995,1011,1008,1144,1156,1195
Himachal Pradesh,2014,Road Accident_Cases,3325,246,191,260,234,289,295,292,329,272,302,313,302
Himachal Pradesh,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Total Traffic_Cases,3325,246,191,260,234,289,295,292,329,272,302,313,302
Jammu & Kashmir,2014,Road Accident_Cases,5778,414,415,424,433,506,594,563,515,415,544,517,438
Jammu & Kashmir,2014,Railway Accident_Cases,52,6,5,3,2,3,11,5,2,7,3,2,3
Jammu & Kashmir,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Total Traffic_Cases,5830,420,420,427,435,509,605,568,517,422,547,519,441
Jharkhand,2014,Road Accident_Cases,4905,399,434,418,425,454,414,391,384,341,419,373,453
Jharkhand,2014,Railway Accident_Cases,355,17,21,14,21,25,25,27,43,17,42,55,48
Jharkhand,2014,Railway Crossing_Cases,54,0,0,0,0,0,0,0,0,0,9,22,23
Jharkhand,2014,Total Traffic_Cases,5314,416,455,432,446,479,439,418,427,358,470,450,524
Karnataka,2014,Road Accident_Cases,43694,3915,3649,3805,3577,4053,3772,3421,3428,3254,3517,3442,3861
Karnataka,2014,Railway Accident_Cases,36,2,1,5,1,3,5,0,5,3,2,5,4
Karnataka,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2014,Total Traffic_Cases,43730,3917,3650,3810,3578,4056,3777,3421,3433,3257,3519,3447,3865
Kerala,2014,Road Accident_Cases,35872,3332,2909,3005,2785,3162,2805,2834,2913,2911,2911,2963,3342
Kerala,2014,Railway Accident_Cases,368,29,22,40,21,32,40,22,25,42,33,27,35
Kerala,2014,Railway Crossing_Cases,44,3,4,3,3,2,2,6,1,11,5,2,2
