Year,Type,Total,,,
2012,Family Problems,1557,,,
2011,Family Problems,1530,,,
2010,Family Problems,1493,,,
2006,Family Problems,1465,,,
2011,Family Problems,1406,,,
2012,Family Problems,1362,,,
2010,Family Problems,1354,,,
2011,Family Problems,1354,,,
2006,Family Problems,1329,,,
2012,Family Problems,1320,,,
2006,Family Problems,1318,,,
2010,Family Problems,1306,,,
2010,Family Problems,1287,,,
2003,Family Problems,1274,,,
2007,Family Problems,1258,,,
2008,Family Problems,1249,,,
2009,Family Problems,1240,,,
2009,Causes Not known,1240,,,
2007,Family Problems,1225,,,
2012,Other Causes (Please Specity),1209,,,
2009,Family Problems,1196,,,
2006,Family Problems,1192,,,
2002,Family Problems,1189,,,
2003,Family Problems,1186,,,
2008,Family Problems,1183,,,
2004,Family Problems,1175,,,
2011,Family Problems,1168,,,
2002,Family Problems,1161,,,
2005,Family Problems,1150,,,
2004,Family Problems,1149,,,
2003,Family Problems,1128,,,
2001,Bankruptcy,940539,,,
2005,Family Problems,1122,,,
2011,Causes Not known,1108,,,
2008,Family Problems,1102,,,
2010,Causes Not known,1094,,,
2009,Family Problems,1063,,,
2007,Family Problems,1053,,,
2012,Family Problems,1039,,,
2006,Family Problems,1034,,,
2006,Family Problems,1032,,,
2004,Family Problems,1029,,,
2007,Family Problems,1021,,,
2012,Family Problems,1012,,,
2010,Family Problems,1010,,,
2009,Family Problems,997,,,
2008,Family Problems,996,,,
2012,Other Causes (Please Specity),979,,,
2010,Family Problems,970,,,
2012,Family Problems,967,,,
2007,Family Problems,959,,,
2002,Family Problems,955,,,
2010,Family Problems,950,,,
2011,Family Problems,948,,,
2005,Family Problems,922,,,
2011,Family Problems,920,,,
2006,Family Problems,910,,,
2007,Family Problems,906,,,
2008,Other Causes (Please Specity),903,,,
2009,Family Problems,890,,,
2004,Family Problems,887,,,
2012,Other Causes (Please Specity),881,,,
2012,Family Problems,879,,,
2010,Family Problems,877,,,
2010,Family Problems,877,,,
2011,Family Problems,875,,,
2011,Causes Not known,875,,,
2012,Family Problems,873,,,
2011,Family Problems,864,,,
2005,Family Problems,861,,,
2011,Family Problems,860,,,
2008,Family Problems,858,,,
2006,Other Causes (Please Specity),843,,,
2008,Family Problems,841,,,
2003,Family Problems,835,,,
2007,Causes Not known,833,,,
2011,Causes Not known,833,,,
2007,Family Problems,830,,,
2008,Causes Not known,823,,,
2012,Family Problems,820,,,
2006,Family Problems,819,,,
2009,Family Problems,817,,,
2008,Other Causes (Please Specity),816,,,
2006,Family Problems,802,,,
2009,Causes Not known,800,,,
2008,Causes Not known,789,,,
2006,Family Problems,788,,,
2007,Family Problems,787,,,
2008,Family Problems,787,,,
2007,Causes Not known,787,,,
2010,Causes Not known,786,,,
2012,Family Problems,784,,,
2011,Family Problems,784,,,
2002,Other Prolonged Illness,783,,,
2005,Other Causes (Please Specity),779,,,
2010,Family Problems,773,,,
2002,Family Problems,771,,,
2004,Causes Not known,767,,,
2008,Family Problems,764,,,
2004,Causes Not known,762,,,
2005,Other Causes (Please Specity),759,,,
2012,Family Problems,757,,,
2011,Family Problems,757,,,
2003,Causes Not known,756,,,
2004,Other Prolonged Illness,756,,,
2005,Causes Not known,755,,,
2006,Family Problems,751,,,
2007,Other Causes (Please Specity),750,,,
2004,Family Problems,746,,,
2008,Other Prolonged Illness,745,,,
2003,Other Prolonged Illness,743,,,
2002,Causes Not known,742,,,
2002,Other Prolonged Illness,741,,,
2011,Family Problems,741,,,
2012,Family Problems,740,,,
2007,Causes Not known,735,,,
2009,Other Causes (Please Specity),731,,,
2009,Family Problems,725,,,
2005,Causes Not known,717,,,
2011,Family Problems,717,,,
2009,Family Problems,716,,,
2008,Family Problems,715,,,
2010,Family Problems,715,,,
2007,Causes Not known,714,,,
2005,Other Causes (Please Specity),708,,,
2005,Family Problems,708,,,
2002,Other Prolonged Illness,707,,,
2007,Family Problems,702,,,
2011,Family Problems,701,,,
2003,Family Problems,700,,,
2009,Causes Not known,700,,,
2005,Family Problems,699,,,
2010,Family Problems,698,,,
2008,Other Prolonged Illness,695,,,
2012,Drug Abuse/Addiction,693,,,
2012,Other Causes (Please Specity),693,,,
2011,Causes Not known,685,,,
2011,Other Causes (Please Specity),681,,,
2003,Family Problems,681,,,
2006,Family Problems,680,,,
2008,Family Problems,679,,,
2011,Other Causes (Please Specity),678,,,
2002,Other Prolonged Illness,675,,,
2004,Family Problems,674,,,
2006,Other Prolonged Illness,674,,,
2008,Other Causes (Please Specity),670,,,
2012,Other Causes (Please Specity),670,,,
2003,Family Problems,669,,,
2010,Causes Not known,668,,,
2009,Other Causes (Please Specity),664,,,
2010,Family Problems,664,,,
2006,Other Causes (Please Specity),663,,,
2005,Causes Not known,663,,,
2009,Family Problems,662,,,
2002,Causes Not known,662,,,
2012,Family Problems,661,,,
2006,Family Problems,658,,,
2010,Other Causes (Please Specity),658,,,
2010,Causes Not known,658,,,
2004,Causes Not known,655,,,
2010,Family Problems,655,,,
2012,Causes Not known,655,,,
2002,Causes Not known,654,,,
2006,Family Problems,652,,,
2008,Other Causes (Please Specity),652,,,
2010,Family Problems,651,,,
2003,Family Problems,649,,,
2011,Family Problems,648,,,
2009,Family Problems,648,,,
2006,Family Problems,647,,,
2008,Other Prolonged Illness,644,,,
2008,Family Problems,644,,,
2009,Other Causes (Please Specity),643,,,
2011,Causes Not known,642,,,
2007,Family Problems,641,,,
2009,Family Problems,641,,,
2009,Family Problems,639,,,
2009,Other Causes (Please Specity),636,,,
2009,Causes Not known,636,,,
2004,Family Problems,635,,,
2011,Other Causes (Please Specity),634,,,
2002,Other Prolonged Illness,633,,,
2012,Family Problems,632,,,
2002,Family Problems,628,,,
2009,Family Problems,627,,,
2003,Family Problems,625,,,
2005,Family Problems,625,,,
2005,Other Prolonged Illness,625,,,
2006,Family Problems,624,,,
2003,Family Problems,624,,,
2009,Family Problems,622,,,
2004,Family Problems,621,,,
2009,Family Problems,621,,,
2007,Family Problems,620,,,
2005,Family Problems,619,,,
2010,Other Prolonged Illness,617,,,
2003,Causes Not known,617,,,
2007,Other Prolonged Illness,617,,,
2011,Causes Not known,617,,,
2010,Other Causes (Please Specity),615,,,
2010,Other Prolonged Illness,614,,,
2010,Other Prolonged Illness,613,,,
2010,Drug Abuse/Addiction,613,,,
2008,Dowry Dispute,611,,,
2010,Other Causes (Please Specity),610,,,
